p[I[-]];[Hg[2+]]/0.1;[Pb[2+]]/0.1
0,888349736876117;2,99708785464279E-26;3,86099708512851E-6
0,871981197656254;2,77947258838687E-26;3,58065431593275E-6
0,856208768189172;2,58474400304949E-26;3,32979530317002E-6
0,840990606449281;2,40980118108418E-26;3,10442529120127E-6
0,826289126671405;2,25205116598429E-26;2,90120390496926E-6
0,812070440991411;2,10931228458315E-26;2,71732060499506E-6
0,798303889741695;1,97973827475972E-26;2,55039694492895E-6
0,784961644029638;1,86175825451253E-26;2,39840923673676E-6
0,772018367649082;1,75402886211539E-26;2,25962689527696E-6
0,759450928003183;1,65539582674158E-26;2,13256293167452E-6
0,747238147752776;1,56486290414842E-26;2,01593393473041E-6
0,73536059049389;1,48156660732141E-26;1,90862751768533E-6
0,723800375018386;1,40475552874058E-26;1,8096756801385E-6
0,712541013702092;1,33377332491534E-26;1,71823288788245E-6
0,701567271354644;1,26804464021873E-26;1,63355793928866E-6
0,690865041498969;1,20706340373955E-26;1,55499888873266E-6
0,680421237559902;1,15038305271627E-26;1,48198045193711E-6
0,670223696856658;1,0976083284286E-26;1,41399343703279E-6
0,660261095632765;1,04838836200314E-26;1,35058583735084E-6
0,650522873634935;1,0024108234473E-26;1,29135529391832E-6
0,640999166981449;9,59396951077776E-27;1,2359426921217E-6
0,63168074825022;9,19097313134904E-27;1,1840267016084E-6
0,622558972874431;8,81288180863571E-27;1,13531910390995E-6
0,613625731065273;8,45768414280499E-27;1,08956078053307E-6
0,604873404591722;8,12356779444057E-27;1,04651825693369E-6
0,596294827840178;7,80889630224233E-27;1,00598071605819E-6
0,587883252655326;7,51218899051908E-27;9,6775740992703E-7
0,579632316529824;7,23210350462036E-27;9,31675409762552E-7
0,571536013767486;6,967420588708E-27;8,97577644986059E-7
0,563588669292278;6,71703078275534E-27;8,65321189459355E-7
0,555784914817207;6,47992276712703E-27;8,34775759975752E-7
0,548119667122411;6,2551731255884E-27;8,0582239748022E-7
0,540588108222343;6,0419373328372E-27;7,78352306038553E-7
0,533185667228261;5,83944180197054E-27;7,52265828352669E-7
0,525908003735052;5,64697685177616E-27;7,27471539772215E-7
0,518750992581198;5,46389047423401E-27;7,03885445393234E-7
0,511710709847904;5,28958279983346E-27;6,81430267052917E-7
0,504783419978402;5,12350117281945E-27;6,6003480889839E-7
0,497965563911601;4,96513576074029E-27;6,39633391786923E-7
0,491253748135688;4,81401563305846E-27;6,2016534811313E-7
0,484644734577417;4,66970525241227E-27;6,01574569795917E-7
0,47813543125167;4,53180132963581E-27;5,83809103126569E-7
0,47172288360371;4,39993000006673E-27;5,66820785006713E-7
0,465404266483438;4,27374428416919E-27;5,50564915813205E-7
